objectid,title,creator,subject,date,description,provenance,source,identifier,type,MEDIA,format,rights,rightsstatement,fileid,extension,object_location,image_small,image_thumb
JMZ.242,�Buffalo Dancer�,"Suina, Theadore/Ku Pe Ru",Cochiti,,A painting of a Pueblo dancer facing the viewer.  He is wearing a buffalo headdress with six feathers attached to the back and a hand-woven kilt and belt.  There are metal �tinklers� attached to the bottom of the kilt and four jingle bells around his waist.  He holds a rattle in his right hand that is in front of him and toward his left.  In his left hand he holds a bow.,"Purchased by Mr. and Mrs. Jack Zarrow at the Hansen Gallery, Santa Fe, New Mexico,  February of 1991. Note with photograph of painting:  Blumenschein Estate; Buffalo Dancer; Suna, Theordore, Snow; Cochiti Pueblo.  Also:  Estate Ernest L. Blumenschein (1874-1960) Left to his daughter, Helen Blumenschein (1909 � 1989) Her estate left to cousin � Santa Fe resident.  Hansen Gallery acquired the painting 1980. ","Zarrow Collection, Oklahoma State University Archives",JMZ.242,Image,gouache,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.242,png,/objects/JMZ.242.png,/objects/small/jmz.242_sm.jpg,/objects/thumbs/jmz.242_th.jpg
JMZ.243,Living Memories of a Distant Past,"Rutledge, Cathy",Choctaw; Cherokee,1980,"A painting of a gray haired man sitting on a log  stool (viewer's left of painting and facing viewer's right) as he dreams of a stickball game (picture of game in viewer's upper right).  He is wearing a wide brimmed hat, a white shirt and black pants.  The man's right hand rests on his right thigh and grasps the handle of a stickball stick.  His left hand rests on his left knee and holds a string that is attached to a stickball stick.  Several more such sticks are in a pile at his feet and it appears he has been making them.","Purchased by Mr. and Mrs. Jack Zarrow at  the Five Civilized Tribes Museum's Annual Art Exhibition,  Muskogee, Oklahoma, October 19, 1980. Glued to dust cover:  !. Attach to entry: Artist:  Cathy Rutledge; Title:  ""living Memories of a  Distant Past""; Medium:  oil; Price:  $450.00;  Artist's Tribe:  Choctaw.  Exhibition Label (glued to dust cover):  ""Living Memories of a Distant Past"" by Cathy Rutledge  (Choctaw); oil; $450; Honorable Mention (written in ink).  Stapled to back of frame:  yellow Honorable Mention ribbon (removed to artist file).","Zarrow Collection, Oklahoma State University Archives",JMZ.243,Image,oil on board,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.243,png,/objects/JMZ.243.png,/objects/small/jmz.243_sm.jpg,/objects/thumbs/jmz.243_th.jpg
JMZ.244,Deerslayer's Dream,"Hardin, Helen",Santa Clara,,"A somewhat abstract etching of a man (almost stick figure) with two shadow images behind him.  He is on the viewer's left and faces the viewer.  To his left and behind him are petroglyph images of deer - five orange colored, three brown colored, and four that are outlines.  The man holds a bow in his left hand and two arrows in his right.  Behind the man is a series of circles and a horizontal zig-zag line that goes from one edge of the etching to the other.",":  Purchased by Mr. and Mrs. Jack Zarrow at the Indian Paintbrush Gallery, Siloam Springs, Arkansas, September 3, 1991. Print Documentation (see artist file):  Printed 3/6/81 at El Cerro Graphics, Los Lunes, NM; William Boyson and Ricardo Ximenes printers. ","Zarrow Collection, Oklahoma State University Archives",JMZ.244,Image,etching  41/65,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.244,png,/objects/JMZ.244.png,/objects/small/jmz.244_sm.jpg,/objects/thumbs/jmz.244_th.jpg
JMZ.245,"Women at San Juan, Women at the Spring","Montoya, Geronima/Potsunu",San Juan,1990,A painting of seven Pueblo women getting water from a spring.  They are all dressed in the traditional one-shoulder dress (although the fabrics vary) with a blouse under it and a long scarf/cape over their heads and hanging down almost to the hem of their dresses.  Three of the women (viewer's left) have filled their ceramic jars and are carrying them on their heads as they head home (face viewer's left).  Behind the spring are two women who are waiting to fill their jars.  To the viewer's right of the spring are two women - one kneeling and filling a jar and another standing behind her watching.,"Purchased by Mr. and Mrs. Jack Zarrow from Robert F. Nichols, Santa Fe, New Mexico, March 26, 1992.  ","Zarrow Collection, Oklahoma State University Archives",JMZ.245,Image,casein,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.245,png,/objects/JMZ.245.png,/objects/small/jmz.245_sm.jpg,/objects/thumbs/jmz.245_th.jpg
JMZ.246,Untitled (Man with blue hat),"Biggoose, Marcellus ""Mars""",Ponca,1981,"A painting of the head and shoulders of a man with long black hair (facing viewer's left) wearing a wide brimmed, smooth crowned blue hat.  The hat has a beaded band with a feather attached.  The man has a mauve colored blanket around his shoulders and his image stops there (upper half of the painting).  A line curves downward from the front edge of his blanket and circles to the viewer's right.  At this point the line changes to a brown band that seems to move away from the viewer.  Two blanket wrapped figures (back to viewer) stand on the brown band as though waking down a trail.","Purchased by Mr. and Mrs. Jack Zarrow, where, when, how, and price not available.","Zarrow Collection, Oklahoma State University Archives",JMZ.246,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.246,png,/objects/JMZ.246.png,/objects/small/jmz.246_sm.jpg,/objects/thumbs/jmz.246_th.jpg
JMZ.247,Answer,"Anderson, Troy",Cherokee,1980,"A painting of seven blanket wrapped figures (viewer's left) - three in foreground, two behind them, and two in the distance - in a snowstorm.  In the sky in front of a moon (viewer's right) is a spirit like image of a man holding a feather in his right hand.  He appears to be speaking.","Purchased by Mr. and Mrs. Jack Zarrow at the Five Civilized Tribes Museum, Troy Anderson One-man Show, Muskogee, Oklahoma, April 13, 1980.  This is one of nineteen paintings by Troy Anderson that the Zarrows purchased at this time. ","Zarrow Collection, Oklahoma State University Archives",JMZ.247,Image,acrylic,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.247,png,/objects/JMZ.247.png,/objects/small/jmz.247_sm.jpg,/objects/thumbs/jmz.247_th.jpg
JMZ.248,Bountiful Mother,"Hardin, Helen",Santa Clara,,An etching of a figure shaped like an ear of corn wearing an elaborate tablita (headdress) with corn painted on it.  The face is painted like a Pueblo ceremonial mask and in place of a husk the figure wears (like a cape) a hand-woven and embroidered blanket.  The figure also wears high-topped dance boots.  In the background is an embossed image of a Pueblo.,"Purchased by Mr. and Mrs. Jack Zarrow at the Indian Paintbrush Gallery, Siloam Springs, Arkansas, September 3, 1991.  Print Documentation (see artist file):  This etching is dated 5/18/80.  It was printed by El Cerro Graphics, Richard C. Ximenes, printer, Las Lunas, NM.","Zarrow Collection, Oklahoma State University Archives",JMZ.248,Image,etching   31/50,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.248,png,/objects/JMZ.248.png,/objects/small/jmz.248_sm.jpg,/objects/thumbs/jmz.248_th.jpg
JMZ.249,Reflecting,"Shoemaker, Ben Adair",Quapaw; Shawnee; Cherokee,1981,A painting of seven evenly spaced figures walking toward the viewer's right around the edge of a pond with green hills and clouds in the background.  Their images are reflected in the pond.  These figures appear to be both men and women.  Their clothing is all brown and their hair is gray.,"Purchased by Mr. and Mrs. Jack Zarrow at the Cherokee National Museum's ""Trail of Tears"" Show and Sale, Tahlequah, Oklahoma, June 19, 1981.  This painting won a 2nd place award at this exhibition.","Zarrow Collection, Oklahoma State University Archives",JMZ.249,Image,gouache,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.249,png,/objects/JMZ.249.png,/objects/small/jmz.249_sm.jpg,/objects/thumbs/jmz.249_th.jpg
JMZ.25,Soliloquy,"Hosmer, Floyd E.",,1980,"Number 19 of 60.  An etching on plaster of a tree on a hill, done in brown tones.","Purchased by Mr. and Mrs. Jack Zarrow from the Callaway Galleries, Rochester, MN.  On the plaster border underneath the etching is  19/60; ""Soliloquy"" and the artist's signature.","Zarrow Collection, Oklahoma State University Archives",JMZ.25,Image,stone etching,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.25,png,/objects/JMZ.25.png,/objects/small/jmz.25_sm.jpg,/objects/thumbs/jmz.25_th.jpg
JMZ.250,Plains medicine man,"Beaver, Fred",Creek,1980,"A painting of two men sitting in front of a teepee.  The man on the viewer's right is dressed in a ""war"" bonnet and beaded buckskin clothing and is smoking a ceremonial pipe.  The man on the viewer's left is dressed in a breechclout and moccasins and is beating a drum.  There is a campfire in the foreground and two horses are ground tied behind and to the left of the teepees.  There are mesas and a big sun in the background.",":  Purchased by Mr. and Mrs. Jack Zarrow from Fred Beaver at his home in Checotah, Oklahoma, May 6, 1980.","Zarrow Collection, Oklahoma State University Archives",JMZ.250,Image,gouache,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.250,png,/objects/JMZ.250.png,/objects/small/jmz.250_sm.jpg,/objects/thumbs/jmz.250_th.jpg
JMZ.251,Four Dancers,"Pena, Tonita/Quah Ah",San Ildefonso,,"A painting of three Pueblo dancers (facing viewer's right) and a drummer (facing viewer's left).  The furthest left dancer is a female holding a bow and arrows in her left hand and Spruce boughs in her right as she sings.  In front of her is a female dressed in the traditional white hand-woven sleeveless dress ceremonial dress with a rain sash and dance boots.  She holds feathers in her right hand that is raised up to her shoulder.  In front of her is a man dressed in an Pueblo eagle costume.  Facing the dancers is a man dressed in buckskin clothing, wearing a ""war"" bonnet who is beating a drum.  In the lower right corner of the painting is a rain and lighting symbol.","PROVENIENCE:  Purchased by Mr. and Mrs. Jack Zarrow from Dewey Galleries, Santa Fe, New Mexico, September 18, 1991.","Zarrow Collection, Oklahoma State University Archives",JMZ.251,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.251,png,/objects/JMZ.251.png,/objects/small/jmz.251_sm.jpg,/objects/thumbs/jmz.251_th.jpg
JMZ.252,Camouflage (printed on front of painting),"Joshua, Lee",Creek; Seminole,1979,"A painting of an Indian hunter kneeling on his right knee in some tall grass.  He faces the viewer and looks to the viewer's left,  He has a bow and arrows in a quiver on his back.  An animal skin (buffalo hide?) hangs down around his elbows and across his back.  The title ""Camouflage"" in printed at the bottom of the painting.","Purchased by Mr. and Mrs. Jack Zarrow from the artist, either at the Zarrows home or from the artist's truck at the Five Civilized Tribes' parking lot, Muskogee, Oklahoma, ca. 1980. ","Zarrow Collection, Oklahoma State University Archives",JMZ.252,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.252,png,/objects/JMZ.252.png,/objects/small/jmz.252_sm.jpg,/objects/thumbs/jmz.252_th.jpg
JMZ.253,Pause for thought,"Anderson, Troy",Cherokee,1980,A painting of a wooded snow scene with seven figures wrapped in blankets on the left side.  There are two round objects in the sky (sun and moon?).  The figure in the foreground faces the viewer's right and has a staff in his right hand.  The other figures have their backs to the viewer.  This is a painting of people on the Cherokee's Trail of Tears.,"Purchased by Mr. and Mrs. Jack Zarrow at the Five Civilized Tribes Museum's Troy Anderson One-man Show, Muskogee, Oklahoma, April 3, 1980.  This painting was one of nineteen paintings by Troy Anderson that the Zarrows purchased at this time. On dust cover:  Pause for Thought.","Zarrow Collection, Oklahoma State University Archives",JMZ.253,Image,acrylic,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.253,png,/objects/JMZ.253.png,/objects/small/jmz.253_sm.jpg,/objects/thumbs/jmz.253_th.jpg
JMZ.254,Ancient Buffalo Song,"Hood, Larry",Comanche,1992,A painting of a Plains Indian warrior (facing the viewer) wearing a buffalo headdress.  He is wearing long dangle earrings and is wrapped in a multi-colored blanket.  He is holding a shield with four anthropomorphic figures painted on it.,"Purchased by Mr. and Mrs. Jack Zarrow from Wes Gan at Native American Art, Tulsa, Oklahoma, 1992.  On dust cover:  ""Ancient Buffalo song"" . Oct. 92; Artist:  Larry Hood (Comanche) from artist to Wes Gan 323 S. Main, Tulsa, OK 74107  1-918-584-5792. ","Zarrow Collection, Oklahoma State University Archives",JMZ.254,Image,watercolor,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.254,png,/objects/JMZ.254.png,/objects/small/jmz.254_sm.jpg,/objects/thumbs/jmz.254_th.jpg
JMZ.255,The Judge - It's Indian Law,"Herrera, Joe",Cochiti,,A geometric abstract painting of a Kachina face and hands (facing viewer).  The right hand holds a rattle and the left hand a staff with two feathers at the top.  The painting is done in multi-colors and then sprayed with multi-colored dots.,"Purchased by Mr. and Mrs. Jack Zarrow though correspondence with James Conlon, Albuquerque, New Mexico, November, 5, 1991. Glued to dust cover:  11/11/91 Joe H. Herrera, Cochiti Pueblo, NM; 20"" X 26""  casein on paper, sprayed and brush application - Depiction of Kachina mask executed in Herrera's geometric style.  Also:  The Judge; Its Indian Law,  Joe Herrera (signature)  1989.","Zarrow Collection, Oklahoma State University Archives",JMZ.255,Image,casein,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.255,png,/objects/JMZ.255.png,/objects/small/jmz.255_sm.jpg,/objects/thumbs/jmz.255_th.jpg
JMZ.256,Summer camp,"Bales, Jean",Iowa,,"A painting of a Plains Indian camp with two teepees and multiple activities.  It contains twelve women, eight men, three young girls, six young boys, one baby, five horses, two foals, five white dogs, and five white puppies.  The activities include, hanging meat to dry, teaching arrow making, gathering wood, cooking, tending horses, a hunter delivering meat, and child tending.","Purchased by Mr. and Mrs. Jack Zarrow at The Art Market, Tulsa, OK, from the Halsey Collection, January 1, 1992.  On dust cover:  Acquired from Halsey Collection  1/92; Gallup Ceremonial Award (not confirmed!!!)  Taped to dust cover:  Summer Camp by Jean Bales won 1st place at Heard Museum rec's purple ribbon in 1977 at Phoenix, Ariz.  Acquired from Jim and Menissa (Crumbo) Halsey Collection 1-92.  Also:  Purple Ribbon; Heard Museum Arts and Crafts Exhibit 1977; Name: Jane E. Bales; Owner: ""Summer Camp""; Class:  1st Place; Date:  77; Judge:  Heard Museum (obviously someone filled in the information the way they wanted, not what was called for).","Zarrow Collection, Oklahoma State University Archives",JMZ.256,Image,watercolor on rice paper,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.256,png,/objects/JMZ.256.png,/objects/small/jmz.256_sm.jpg,/objects/thumbs/jmz.256_th.jpg
JMZ.257,Red Eagle,"Moline, Bob",Comanche,,A head and shoulder portrait of a man with long scraggly brown hair who is wearing a black top hat decorated with feathers.  He faces the viewer and has a squint eyed look.  His shirt is red.,"Purchased by Mr. and Mrs. Jack Zarrow at the Trails West Gallery, Scottsdale, Arizona.  The Zarrows also purchased ""Straight Dancer"" by Bob Moline at this time. On dust cover:  #14179 ""Red Eagle"" 1980. ","Zarrow Collection, Oklahoma State University Archives",JMZ.257,Image,watercolor,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.257,png,/objects/JMZ.257.png,/objects/small/jmz.257_sm.jpg,/objects/thumbs/jmz.257_th.jpg
JMZ.258,Straight Dancer,"Moline, Bob",Comanche,,A profile portrait of a man (facing viewer's right) with long brown hair wearing a bead decorated fur brow band that has a vertical feather at the back.  He is wearing a sleeveless blue shirt.,"Purchased by Mr. and Mrs. Jack Zarrow at Trails West Gallery, Scottsdale, Arizona.  The Zarrows also purchased ""Red Eagle"" by Bob Moline. On dust cover:  #14279 ""Straight Dancer""  1980.  On business card:  Property of Mr. and Mrs. Jack  Zarrow 6.23.80. ","Zarrow Collection, Oklahoma State University Archives",JMZ.258,Image,watercolor,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.258,png,/objects/JMZ.258.png,/objects/small/jmz.258_sm.jpg,/objects/thumbs/jmz.258_th.jpg
JMZ.259,untitled - Indian man on horse,"Seltzer, Steve",,,A painting of an Indian sitting on a horse which is done in the style of Olaf C. Seltzer (the artist's grandfather).  The Indian and the horse face the viewer's right.  The Indian holds a bow case across his lap and has a shield on his left arm.  He is wearing blue leggings and is sitting in an Indian style saddle with a hide draped over it.  The horse is a brown and white paint with two feathers tied to his forelock.,"Purchased by Mr. and Mrs. Jack Zarrow from the artist at Joan Stauffer's home, Tulsa, OK, 1979. On dust cover:  Property of Mr. and Mrs. Jack Zarrow; W S (Steve) Seltzer; June 1979. ","Zarrow Collection, Oklahoma State University Archives",JMZ.259,Image,watercolor,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.259,png,/objects/JMZ.259.png,/objects/small/jmz.259_sm.jpg,/objects/thumbs/jmz.259_th.jpg
JMZ.26,Winter Stillness,"Hosmer, Floyd E.",,1978,Number 19 of 30.  An etching of a building (barn?) with a stone foundation and a windmill (to the viewer's right of the building).  There is another building seen through the bare trees farther to the viewer's right.  It is done in brown tones.,"Purchased by Mr. and Mrs. Jack Zarrow from Callaway Gallery, Rochester, MN, Ca. 1980.  On plaster border underneath the etching is 19/30; ""Winter Stillness"" and the artist's signature.","Zarrow Collection, Oklahoma State University Archives",JMZ.26,Image,stone etching,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.26,png,/objects/JMZ.26.png,/objects/small/jmz.26_sm.jpg,/objects/thumbs/jmz.26_th.jpg
